,ESTRATO,DOMINIO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
179,2,U,23,Mor.,0.5084922526817641,0.24671126831621829,0.504352989301013,4.029520062593956,246942
180,2,U,23,Nay.,0.5,0.0,0.3333333333333333,2.6666666666666665,246942
181,2,U,23,Oax.,0.5743682310469314,0.532488698853243,0.6860215697425,5.799470859085698,246942
182,2,U,23,Qro.,0.46564885496183206,0.40803417012068416,0.671144428322599,4.837020956975263,246942
183,2,U,23,Q. Roo.,0.5631666666666667,0.42625099020220975,0.4247827055939381,4.807236038663382,246942
184,2,U,23,S.L.P,0.5832006369426752,0.37552495903148886,0.7054358974358973,5.2457741787684515,246942
185,2,U,23,Sin.,0.5994143892916899,0.4706018720727864,0.7236769443176359,5.727418934093177,246942
186,2,U,23,Son.,1.0,0.8333333333333334,0.5,8.333333333333334,246942
187,2,U,23,Tab.,0.5448071590622636,0.45279952445839217,0.658843442617481,5.308113619317584,246942
188,2,U,23,Tamps.,0.5959049544994945,0.4973388354175819,0.6622215384274198,5.697418236523147,246942
189,2,U,23,Ver.,0.5736980019652801,0.4301739529056922,0.627708310237774,5.270904439959438,246942
190,2,U,23,Yuc.,0.6955375966268447,0.4587347949509129,0.42060712200817285,5.458303810327376,246942
191,2,U,23,Zac.,0.36904761904761907,0.2845163222521713,0.2641509433962264,3.1425576519916145,246942
192,3,U,30,Ags.,0.9066008082622363,0.5689786512071672,0.7188855692371551,7.3400889763519235,460652
193,3,U,30,B.C.,0.9118729552889858,0.7238271426212304,0.7006642630326795,7.944128917706226,460652
194,3,U,30,B.C.S,0.8533145275035261,0.641861564124692,0.6936998126934514,7.368103991899774,460652
195,3,U,30,Camp.,0.7558479532163742,0.5867446393762182,0.9091915836101881,7.188753537590746,460652
196,3,U,30,Coah.,0.7713166385005378,0.6430757189462246,0.5720896962810235,6.801748822349097,460652
197,3,U,30,Col.,0.7767175572519085,0.7863522810922348,0.7601176917236142,7.772514736823801,460652
198,3,U,30,Chis.,0.75,0.3333333333333333,1.0,6.333333333333333,460652
199,3,U,30,Chih.,0.6968181818181818,0.5429627761666597,0.706195099398983,6.371514030737332,460652
200,3,U,30,C.D.Mx,0.9036226983492668,0.804110389235282,0.7363065405126749,8.303545431363546,460652
201,3,U,30,Gto.,0.8135680461190036,0.6951507074779301,0.7817412450158715,7.598357504419479,460652
202,3,U,30,Gro.,0.25,0.0,0.3333333333333333,1.666666666666667,460652
203,3,U,30,Jal.,0.8006709786616696,0.7146371269747878,0.5599214449870652,7.181075312519961,460652
204,3,U,30,Edo. Méx.,0.9222178960781537,0.555359233000082,0.694582253486363,7.299473023285669,460652
205,3,U,30,Mich.,0.8965583913379738,0.6304751034384363,0.8193222459104353,7.746778470926512,460652
206,3,U,30,Mor.,0.8267870439314966,0.5952139575474048,0.6526504239258223,6.993304853767251,460652
207,3,U,30,Nay.,0.9453028430160693,0.8409070505033392,0.8630852172114795,8.871010008500594,460652
208,3,U,30,N.L.,0.8124617425015304,0.7117016563328621,0.6419032029879297,7.380460001313429,460652
