ESTRATO,DOMINIO,Grupo,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. Méx.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
3,U,30,7.3400889763519235,7.944128917706226,7.368103991899774,7.188753537590746,6.801748822349097,7.772514736823801,6.333333333333333,6.371514030737332,8.303545431363546,,7.598357504419479,1.666666666666667,,7.181075312519961,7.299473023285669,7.746778470926512,6.993304853767251,8.871010008500594,7.380460001313429,7.676996234434447,,6.7171890557405,6.6782192166807555,5.179583412753924,7.00300991814265,8.230919248881914,7.061192271263831,6.89224133755305,8.666666666666668,7.514095536413469,7.259495118823947,6.778884903399524
3,U,31,5.516981428520018,7.971836386582454,6.597413824753517,6.250826478065916,4.375061713269261,6.5472062947286584,6.963057672066773,5.290554331853222,7.253773544503491,6.461579115427467,6.53639796550039,5.698691835794476,1.666666666666667,3.916692276742699,4.4867116499912925,6.556071636747807,6.016331392644484,5.599993902121037,5.428270386842583,,6.666666666666668,6.63553990786647,6.379701691321426,7.862977421057511,5.893047049237405,5.786540291408739,,6.958246269127107,8.533333333333333,6.6607435998013855,5.87746574074043,4.0
3,U,32,7.06485294208112,8.008826283134873,5.0,7.897286226318485,8.444444444444446,8.324894514767934,,8.198852050213617,8.796731897495796,,8.15033521052412,,7.127681701415654,7.43890124345654,7.932485662799551,6.9691071934919275,8.165601577043635,8.222222222222223,8.35903621820123,7.777777777777779,8.455406528866568,7.707583628190996,7.54727438035162,7.11904761904762,7.05293429650755,8.808400920895014,8.666666666666668,7.076945486648409,,8.2349143214824,7.702095125468924,6.0
3,U,33,6.17731277808939,7.108091179368197,6.5803277695108475,6.732476764391637,6.197529325741717,6.695835933778466,6.618885557266432,6.295854605257847,7.448000977731155,6.276784645002122,6.313263317390934,7.533533199081627,6.425260643012298,6.164887461101149,6.86103117355532,5.999945255757176,6.379560829989489,6.985302600831557,6.904690533230072,6.958877198111776,6.622478834775405,6.955063522364372,6.683844139985796,6.7099008516269,6.222475316611343,7.204767828652695,6.507150280477324,6.340984149742106,6.414961227616023,6.55461067769235,6.617724116528617,6.651896210790463
3,U,34,6.0905814547762915,8.034557722292279,6.377292277936374,7.47588424437299,7.510594315245478,5.652964587105825,,9.000000000000002,8.591047310829838,5.833333333333334,6.578192321199171,,,5.983467997167347,,5.749542362032114,6.522020202020203,6.406769434210926,5.166666666666667,7.333333333333334,,6.926496599903386,7.13828869910218,4.940632149645097,6.392205354085152,7.855865107247176,7.222222222222222,5.713062547637048,7.589849130280442,6.111111111111112,5.971142018649363,7.067073068120624
4,U,40,6.939488346125709,8.812334207971059,8.475832307350972,5.95710700433493,8.075184197225859,8.754785190018445,,9.000000000000002,9.15494428904103,7.8097448239009175,8.356410954362868,,,9.590594625013972,7.092047874569554,7.974406260160389,,8.138769670958512,8.54373496553739,,9.666666666666668,8.429364702885115,8.545629997242902,9.11111111111111,8.013490217282973,10.0,8.333333333333336,7.097626399923652,7.666666666666667,1.666666666666667,7.600717364750773,
4,U,41,7.994414589400341,9.466666666666669,6.85886991068717,8.666666666666668,9.666666666666668,7.6744681268027435,7.666666666666666,9.000000000000002,6.904791756519206,5.390362978527029,7.666666666666666,,,7.935612172296038,,5.417015930350114,7.3454755462916355,,8.42870941802518,,5.162553257266229,8.29293962933644,7.085107661896527,9.000000000000002,6.600852682893686,8.284818782235291,8.5,7.0426536269817195,5.444444444444445,2.6666666666666665,6.022643249530001,
4,U,42,7.388429745289892,7.83109035623946,7.710549795307816,7.00003459211461,7.836227132924606,7.442446234546873,6.848023487255225,7.667511012441871,8.488164459295431,7.0757162593794565,7.688000214465195,8.416666666666666,7.234888022615404,7.905819731263203,7.8284851079957125,7.390868983042196,7.408084448883501,8.04796710089662,8.187136639918238,8.36724376576702,7.739650919631328,7.831623452648715,7.406275474131567,7.624672531050624,7.105279203381123,8.668810805631043,8.005023969350498,7.1548074121480365,6.666943696750315,7.633277412556386,7.303841386560319,7.82526136114714
4,U,43,8.46428643857527,8.916199405665699,7.666666666666666,7.333333333333334,8.008005285502456,10.0,8.666666666666668,4.0,9.40485133900654,,9.086758984924598,,,8.970156985606858,8.671251619804385,,8.507569441663046,8.666666666666668,9.318433371079296,,8.296936370777692,8.571970068639773,8.420085182694464,8.363657989190159,8.079528936443118,10.0,,8.524157603850956,,8.666666666666668,7.969445514222665,9.0
4,U,44,6.579902093947748,7.751601117816744,7.666666666666666,6.166666666666667,,8.566832615651661,,,7.888888888888889,,6.818361518955374,,,,,,5.666666666666666,10.0,,,,7.165634649969373,,,7.152672292545711,8.441914446171783,7.666666666666666,6.666666666666668,,,7.087667173697466,
