,ESTRATO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
128,2,21,Dgo.,1.0,0.6666666666666666,0.5,7.666666666666667,1060
129,2,22,Dgo.,0.746268656716418,0.4031600790019751,0.5698924731182796,5.737499889110131,2210
130,2,23,Dgo.,0.25,0.2222222222222222,0.5,2.8888888888888884,952
131,3,31,Dgo.,0.6739401496259352,0.5996637848222862,0.6835816888172909,6.461579115427467,2776
132,3,33,Dgo.,0.706693261106368,0.5411477252982103,0.6427103496919047,6.276784645002122,361953
133,3,34,Dgo.,0.5,0.6666666666666666,0.5833333333333334,5.833333333333334,812
134,4,40,Dgo.,0.8445094509450946,0.6666666666666666,0.8825201767269361,7.8097448239009175,4173
135,4,41,Dgo.,0.6101543942992874,0.5197941409342834,0.43528441879637264,5.390362978527029,1213
136,4,42,Dgo.,0.7774092510176964,0.5979537650162161,0.7871320976219032,7.0757162593794565,147015
137,1,11,Gto.,0.4097571736714818,0.3263326761030046,0.3674757319272337,3.6793108629524127,979774
138,2,20,Gto.,0.4830032818169045,0.3863039767019259,0.4322137514350122,4.341656536945346,3587269
139,2,21,Gto.,0.8889819857561794,0.6034548323921435,0.5968448715589423,7.163437015711176,37291
140,2,22,Gto.,0.6986235861610113,0.7726029226578474,0.45145531458883675,6.787816664453108,47536
141,2,23,Gto.,0.42892182719696165,0.3858386154151341,0.35322292201228517,3.9654876144729534,31407
142,3,30,Gto.,0.8135680461190036,0.6951507074779301,0.7817412450158715,7.598357504419479,25184
143,3,31,Gto.,0.7132352941176471,0.6026611130394539,0.6364061684359927,6.53639796550039,14405
144,3,32,Gto.,0.9644709543568465,0.742460529732425,0.6613046370835164,8.15033521052412,19212
145,3,33,Gto.,0.6875948185319174,0.5971105766487504,0.5872208683341315,6.313263317390934,1004770
146,3,34,Gto.,0.6467120398773006,0.7671070628160049,0.4614579552129743,6.578192321199171,22319
147,4,40,Gto.,0.91994546162836,0.7447560964725541,0.8488023609796049,8.356410954362868,20660
148,4,41,Gto.,0.75,0.6666666666666666,1.0,7.666666666666666,5190
149,4,42,Gto.,0.8177981731525252,0.7242793342656068,0.7598450923963332,7.688000214465195,361386
150,4,43,Gto.,1.0,0.8976862688828064,0.7480069546966862,9.086758984924598,28014
151,4,44,Gto.,0.6594239094239094,0.7035035986667554,0.683325743296357,6.818361518955374,15904
152,1,11,Gro.,0.37497659475057443,0.27907585702423493,0.39270562373674706,3.401621054572732,2193099
153,2,20,Gro.,0.5781371350774325,0.48688467761704524,0.5468725028995696,5.35383225657705,1156151
154,2,21,Gro.,0.9050599895670319,0.46492783863675885,0.5923617620802774,6.664674836975718,7881
155,2,22,Gro.,0.5729587712206952,0.7134319677827841,0.6454183846276593,6.436399725269236,9908
156,2,23,Gro.,0.5,0.3521797752808989,0.5823451910408433,4.573409483205283,4005
157,3,30,Gro.,0.25,0.0,0.3333333333333333,1.666666666666667,908
158,3,31,Gro.,0.6281779661016949,0.5021459227467812,0.5886981402002861,5.698691835794476,2330
159,3,33,Gro.,0.779139758856247,0.7429140787785768,0.7226589242711648,7.533533199081627,178929
160,4,42,Gro.,0.9375,0.6666666666666666,1.0,8.416666666666666,6006
161,1,11,Hgo.,0.32246998090722356,0.22342110804135298,0.38617101548948457,2.9559063867732753,851740
162,2,20,Hgo.,0.5139272902510363,0.40296261708889514,0.49974243950019365,4.667044508360114,1957734
163,2,21,Hgo.,0.8308797445902802,0.6028916090118858,0.3927795104432474,6.52064443529516,7920
